combo,subset,lead,n,accuracy,f1_weighted,mae,r2
XGB+RF+LSTM,agropastoral,0,75,0.6266666666666667,0.6331623931623931,0.3959968667284387,0.33869794979963486
XGB+RF+LSTM,agropastoral,1,75,0.6266666666666667,0.6331623931623931,0.3925711637671822,0.35223395088733644
XGB+RF+LSTM,agropastoral,2,75,0.6133333333333333,0.6203278029160382,0.3937490188168623,0.3586686541944657
XGB+RF+LSTM,agropastoral,3,75,0.64,0.6441307189542484,0.3840692205146208,0.40949805875640866
XGB+RF+LSTM,agropastoral,4,75,0.6666666666666666,0.6763550852439741,0.4056715527585692,0.3169476139226426
XGB+RF+LSTM,agropastoral,8,75,0.6933333333333334,0.689383689107827,0.37881163549496627,0.4394381013722931
XGB+RF+LSTM,agropastoral,12,75,0.7333333333333333,0.6811980676328504,0.3841703108339821,0.4211654492097471
XGB+RF+LSTM,crop_farming,0,1005,0.7532338308457711,0.7590572822877961,0.29909020156436295,0.68376639278191
XGB+RF+LSTM,crop_farming,1,1005,0.7611940298507462,0.7638810528924432,0.2842192319879676,0.6910091978047954
XGB+RF+LSTM,crop_farming,2,1005,0.7343283582089553,0.7426931961807383,0.29722717101012835,0.6671977296156337
XGB+RF+LSTM,crop_farming,3,1005,0.7412935323383084,0.749605806424221,0.30322189089661855,0.6729570312009444
XGB+RF+LSTM,crop_farming,4,1005,0.7114427860696517,0.7217309922728711,0.33779970267949216,0.614900642311591
XGB+RF+LSTM,crop_farming,8,1005,0.700497512437811,0.7015933738089527,0.3634754845552378,0.4926740353734883
XGB+RF+LSTM,crop_farming,12,1005,0.6845771144278607,0.6721425827099228,0.36277654883726884,0.4895543766783932
XGB+RF+TabICL,all,0,1380,0.7246376811594203,0.7278309045949282,0.28641834796769533,0.7670384083793882
XGB+RF+TabICL,all,1,1380,0.7181159420289855,0.7179935403287364,0.2902246386232057,0.7568897895563457
XGB+RF+TabICL,all,2,1380,0.7253623188405797,0.722263044124296,0.2964980835564988,0.7532061891038628
XGB+RF+TabICL,all,3,1380,0.7217391304347827,0.7127580566254855,0.29476296473298363,0.760359539857844
XGB+RF+TabICL,all,4,1380,0.7007246376811594,0.6936570512314528,0.32228972848841614,0.7170978425923178
XGB+RF+TabICL,all,8,1380,0.6847826086956522,0.673460442740428,0.35419293404285546,0.6472607739806823
XGB+RF+TabICL,all,12,1380,0.6978260869565217,0.6805979370230815,0.35908716075371194,0.617995217094335
XGB+RF+TabICL,pastoral,0,300,0.64,0.6225079601523903,0.3491334219207857,0.5208198991751742
XGB+RF+TabICL,pastoral,1,300,0.6433333333333333,0.6212303470983673,0.3563382849094266,0.5111621889559104
XGB+RF+TabICL,pastoral,2,300,0.64,0.6098377855444507,0.383439729581291,0.4687787720319181
XGB+RF+TabICL,pastoral,3,300,0.6,0.5459886516856775,0.3779898826352072,0.48856993933259274
XGB+RF+TabICL,pastoral,4,300,0.5766666666666667,0.521156208687441,0.42613489413489164,0.37511435188306674
XGB+RF+TabICL,pastoral,8,300,0.58,0.5208029418126757,0.4254693927429505,0.35688724762365376
XGB+RF+TabICL,pastoral,12,300,0.6233333333333333,0.5617543859649123,0.44893424330774534,0.21468554378795923
XGB+RF+TabICL,agropastoral,0,75,0.6666666666666666,0.6748761847406834,0.3625275384672244,0.4188577564442172
XGB+RF+TabICL,agropastoral,1,75,0.6533333333333333,0.6631990231990232,0.3955797650923668,0.3353472904536696
