model,target_mode,window,lhz,lead,n,accuracy,f1_weighted,mae,r2
RandomForest,delta,extended,pastoral,8,300.0,0.4033333333333333,0.3690299563331322,0.5768250173085278,-0.08533297389960803
RandomForest,delta,extended,pastoral,12,300.0,0.5766666666666667,0.5234039703678002,0.5135424063827655,0.06916880221798005
RandomForest,level,default,agropastoral,0,45.0,0.7111111111111111,0.6619303201506591,0.3331160495341861,0.5483417699114406
RandomForest,level,default,agropastoral,1,45.0,0.7111111111111111,0.6619303201506591,0.3411618880511043,0.529941897278606
RandomForest,level,default,agropastoral,2,45.0,0.7333333333333333,0.6979885057471265,0.3568028824925333,0.5101312638814282
RandomForest,level,default,agropastoral,3,45.0,0.7333333333333333,0.6778571428571429,0.365518836446906,0.5222662587795368
RandomForest,level,default,agropastoral,4,45.0,0.7111111111111111,0.607907425265188,0.40293524720821494,0.37824706248419604
RandomForest,level,default,agropastoral,8,45.0,0.7111111111111111,0.607907425265188,0.43360641470607186,0.3356641218807379
RandomForest,level,default,agropastoral,12,45.0,0.6888888888888889,0.5879032258064516,0.43273500107940105,0.2567838455972361
RandomForest,level,default,crop_farming,0,603.0,0.7479270315091211,0.7246090272437989,0.3107778155116589,0.6042736128781345
RandomForest,level,default,crop_farming,1,603.0,0.736318407960199,0.7064959900395166,0.321658670670492,0.5506920141303099
RandomForest,level,default,crop_farming,2,603.0,0.7495854063018242,0.7268100936833256,0.2966157643028203,0.6306091629137323
RandomForest,level,default,crop_farming,3,603.0,0.7197346600331676,0.6828731285318529,0.32420656030460954,0.5626748672903104
RandomForest,level,default,crop_farming,4,603.0,0.7164179104477612,0.6772974755170601,0.33593933686417005,0.5016064596081109
RandomForest,level,default,crop_farming,8,603.0,0.7081260364842454,0.6635082206568189,0.37019016865885884,0.4209968852845053
RandomForest,level,default,crop_farming,12,603.0,0.7164179104477612,0.6725785971033418,0.3780446138613668,0.35035697512924635
RandomForest,level,default,pastoral,0,180.0,0.6055555555555555,0.5716631116282076,0.39910474985992184,0.369683015602839
RandomForest,level,default,pastoral,1,180.0,0.6444444444444445,0.6045921110709843,0.41028027510977183,0.3000410693335134
RandomForest,level,default,pastoral,2,180.0,0.6277777777777778,0.5943609883816069,0.4179813860738395,0.2847938796693613
RandomForest,level,default,pastoral,3,180.0,0.6,0.5618397344713134,0.4256407807606613,0.24118773359614376
RandomForest,level,default,pastoral,4,180.0,0.5222222222222223,0.48673920488154165,0.48253698702335096,0.09267911878606339
