zone_code,dominant_livelihood_zone,scenario,collection_date,projection_end,lead_end,cs_date,pred_phase,obs_phase,pred_continuous,obs_continuous
ET0102,crop_farming,ML2,2021-10-01,2022-05-31,7,2022-06-01,4,4,3.998054635648693,3.997244785057779
ET0102,crop_farming,ML1,2022-02-01,2022-05-31,3,2022-06-01,4,4,3.998054635648693,3.997244785057779
ET0102,crop_farming,ML1,2022-03-01,2022-05-31,2,2022-06-01,4,4,3.998054635648693,3.997244785057779
ET0102,crop_farming,ML2,2022-02-01,2022-09-30,7,2022-10-01,4,4,3.998054635648693,3.995299420706472
ET0102,crop_farming,ML2,2022-04-01,2022-09-30,5,2022-10-01,4,4,3.998054635648693,3.995299420706472
ET0102,crop_farming,ML2,2022-03-01,2022-09-30,6,2022-10-01,4,4,3.998054635648693,3.995299420706472
ET0102,crop_farming,ML1,2022-09-01,2022-09-30,0,2022-10-01,4,4,3.998054635648693,3.995299420706472
ET0102,crop_farming,ML1,2022-08-01,2022-09-30,1,2022-10-01,4,4,3.998054635648693,3.995299420706472
ET0102,crop_farming,ML1,2022-06-01,2022-09-30,3,2022-10-01,4,4,3.998054635648693,3.995299420706472
ET0102,crop_farming,ML1,2022-07-01,2022-09-30,2,2022-10-01,4,4,3.998054635648693,3.995299420706472
ET0102,crop_farming,ML2,2022-05-01,2022-09-30,4,2022-10-01,4,4,3.998054635648693,3.995299420706472
ET0102,crop_farming,ML1,2022-10-01,2023-01-31,3,2023-02-01,4,3,3.995299420706472,2.9961092712973856
ET0102,crop_farming,ML1,2022-12-01,2023-01-31,1,2023-02-01,4,3,3.995299420706472,2.9961092712973856
ET0102,crop_farming,ML1,2022-11-01,2023-01-31,2,2023-02-01,4,3,3.995299420706472,2.9961092712973856
ET0102,crop_farming,ML2,2022-09-01,2023-01-31,4,2023-02-01,4,3,3.9961092712973856,2.9961092712973856
ET0102,crop_farming,ML2,2022-06-01,2023-01-31,7,2023-02-01,4,3,3.9961092712973856,2.9961092712973856
ET0102,crop_farming,ML2,2022-07-01,2023-01-31,6,2023-02-01,4,3,3.9961092712973856,2.9961092712973856
ET0102,crop_farming,ML2,2022-08-01,2023-01-31,5,2023-02-01,4,3,3.9961092712973856,2.9961092712973856
ET0102,crop_farming,ML1,2023-01-01,2023-01-31,0,2023-02-01,4,3,3.995299420706472,2.9961092712973856
ET0102,crop_farming,ML1,2023-02-01,2023-05-31,3,2023-06-01,3,4,2.9961092712973856,3.9961092712973856
ET0102,crop_farming,ML2,2023-01-01,2023-05-31,4,2023-06-01,4,4,3.995299420706472,3.9961092712973856
ET0102,crop_farming,ML2,2022-12-01,2023-05-31,5,2023-06-01,4,4,3.995299420706472,3.9961092712973856
ET0102,crop_farming,ML2,2022-11-01,2023-05-31,6,2023-06-01,4,4,3.995299420706472,3.9961092712973856
ET0102,crop_farming,ML1,2023-05-01,2023-05-31,0,2023-06-01,4,4,3.993354056355165,3.9961092712973856
ET0102,crop_farming,ML1,2023-04-01,2023-05-31,1,2023-06-01,4,4,3.993354056355165,3.9961092712973856
ET0102,crop_farming,ML1,2023-03-01,2023-05-31,2,2023-06-01,3,4,2.9961092712973856,3.9961092712973856
ET0102,crop_farming,ML2,2022-10-01,2023-05-31,7,2023-06-01,4,4,3.995299420706472,3.9961092712973856
ET0102,crop_farming,ML2,2023-04-01,2023-09-30,5,2023-10-01,4,3,3.995299420706472,3.000809850590914
ET0102,crop_farming,ML2,2023-03-01,2023-09-30,6,2023-10-01,3,3,2.998054635648693,3.000809850590914
ET0102,crop_farming,ML2,2023-02-01,2023-09-30,7,2023-10-01,3,3,2.998054635648693,3.000809850590914
ET0102,crop_farming,ML1,2023-09-01,2023-09-30,0,2023-10-01,4,3,3.9961092712973856,3.000809850590914
ET0102,crop_farming,ML1,2023-08-01,2023-09-30,1,2023-10-01,4,3,3.9961092712973856,3.000809850590914
ET0102,crop_farming,ML1,2023-07-01,2023-09-30,2,2023-10-01,4,3,3.9961092712973856,3.000809850590914
ET0102,crop_farming,ML1,2023-06-01,2023-09-30,3,2023-10-01,4,3,3.9961092712973856,3.000809850590914
ET0102,crop_farming,ML2,2023-05-01,2023-09-30,4,2023-10-01,4,3,3.995299420706472,3.000809850590914
ET0102,crop_farming,ML1,2024-01-01,2024-01-31,0,2024-02-01,3,4,3.0595090641553444,3.589846188054555
ET0102,crop_farming,ML1,2023-11-01,2024-01-31,2,2024-02-01,3,4,3.000809850590914,3.589846188054555
ET0102,crop_farming,ML2,2023-09-01,2024-01-31,4,2024-02-01,3,4,2.9961092712973856,3.589846188054555
ET0102,crop_farming,ML2,2023-08-01,2024-01-31,5,2024-02-01,3,4,2.9961092712973856,3.589846188054555
ET0102,crop_farming,ML2,2023-07-01,2024-01-31,6,2024-02-01,3,4,2.9961092712973856,3.589846188054555
ET0102,crop_farming,ML2,2023-06-01,2024-01-31,7,2024-02-01,3,4,2.9961092712973856,3.589846188054555
ET0102,crop_farming,ML1,2023-10-01,2024-01-31,3,2024-02-01,3,4,3.000809850590914,3.589846188054555
ET0102,crop_farming,ML1,2023-12-01,2024-01-31,1,2024-02-01,3,4,3.0595090641553444,3.589846188054555
ET0102,crop_farming,ML2,2023-10-01,2024-05-31,7,2024-06-01,4,3,3.998054635648693,3.0944173653437046
ET0102,crop_farming,ML2,2023-12-01,2024-05-31,5,2024-06-01,4,3,4.0,3.0944173653437046
ET0102,crop_farming,ML1,2024-02-01,2024-05-31,3,2024-06-01,4,3,3.589846188054555,3.0944173653437046
ET0102,crop_farming,ML1,2024-03-01,2024-05-31,2,2024-06-01,4,3,3.589846188054555,3.0944173653437046
ET0102,crop_farming,ML1,2024-04-01,2024-05-31,1,2024-06-01,3,3,3.051044842944212,3.0944173653437046
ET0102,crop_farming,ML1,2024-05-01,2024-05-31,0,2024-06-01,3,3,3.051044842944212,3.0944173653437046
ET0102,crop_farming,ML2,2023-11-01,2024-05-31,6,2024-06-01,4,3,3.998054635648693,3.0944173653437046
ET0102,crop_farming,ML2,2024-01-01,2024-05-31,4,2024-06-01,4,3,4.0,3.0944173653437046
ET0102,crop_farming,ML2,2024-02-01,2024-09-30,7,2024-10-01,4,2,3.589846188054555,2.1360610247507648
ET0102,crop_farming,ML2,2024-03-01,2024-09-30,6,2024-10-01,4,2,3.589846188054555,2.1360610247507648
ET0102,crop_farming,ML2,2024-04-01,2024-09-30,5,2024-10-01,3,2,3.051044842944212,2.1360610247507648
ET0102,crop_farming,ML2,2024-05-01,2024-09-30,4,2024-10-01,3,2,3.051044842944212,2.1360610247507648
ET0102,crop_farming,ML1,2024-06-01,2024-09-30,3,2024-10-01,3,2,3.0944173653437046,2.1360610247507648
ET0102,crop_farming,ML1,2024-09-01,2024-09-30,0,2024-10-01,3,2,3.009995461210438,2.1360610247507648
ET0102,crop_farming,ML1,2024-08-01,2024-09-30,1,2024-10-01,3,2,3.009995461210438,2.1360610247507648
ET0102,crop_farming,ML1,2024-07-01,2024-09-30,2,2024-10-01,3,2,3.009995461210438,2.1360610247507648
ET0103,crop_farming,ML2,2019-06-01,2020-01-31,7,2020-02-01,2,2,1.226704328058206,1.7371894835859036
ET0103,crop_farming,ML1,2019-11-01,2020-01-31,2,2020-02-01,2,2,1.7381948616030518,1.7371894835859036
ET0103,crop_farming,ML2,2019-07-01,2020-01-31,6,2020-02-01,2,2,1.226704328058206,1.7371894835859036
ET0103,crop_farming,ML1,2019-12-01,2020-01-31,1,2020-02-01,2,2,1.7381948616030518,1.7371894835859036
