window,lhz,lead,zone_code,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline
default,crop_farming,1,ET0417,9,0.4935795068740845,0.5876559679496756,-5.017014503479004,0.2740275263786316,0.3418267918164171,-1.0358555316925049
default,crop_farming,1,ET0418,9,0.08608096837997437,0.09031566265369796,-0.035086631774902344,0.04462464526295662,0.09485277635711792,-0.14169657230377197
default,crop_farming,1,ET0419,9,0.10058659315109253,0.10691479731102706,-18435.306640625,0.00021044413733761758,0.0006313323974609375,0.3571428656578064
default,crop_farming,1,ET0420,9,0.13145111501216888,0.1536390975240759,-2.0599963665008545,0.047387175261974335,0.09968130469129659,-0.2880859375
default,crop_farming,1,ET0602,9,0.32620054483413696,0.4703480342735511,-0.47258102893829346,0.2661852240562439,0.4701915826322334,-0.4716014862060547
default,crop_farming,1,ET0603,9,0.1953449845314026,0.2494351816459129,-3470.1396484375,0.001131508033722639,0.003394524255458034,0.3571428656578064
default,crop_farming,1,ET0604,9,0.19640329480171204,0.27862334234909175,0.012569785118103027,0.14376485347747803,0.28798263766766613,-0.05488240718841553
default,crop_farming,1,ET0605,9,0.08772595226764679,0.09363092867786764,0.0,0.0,0.0,1.0
default,crop_farming,1,ET0701,9,0.2676486670970917,0.35802827267783544,-1.165637731552124,0.13091859221458435,0.19936134807340697,0.3285199999809265
default,crop_farming,1,ET0702,9,0.6335704326629639,0.7761987659420946,-4.403361797332764,0.4651331901550293,0.5759476564849961,-1.9749808311462402
default,crop_farming,1,ET0703,9,0.5945077538490295,0.7464479334713008,-2.105076313018799,0.5790632367134094,0.7271818167182004,-1.9468581676483154
default,crop_farming,1,ET0705,9,0.615233838558197,0.7312927494431922,-2.4582488536834717,0.5367287993431091,0.6196795984669534,-1.4831793308258057
default,crop_farming,1,ET0706,9,0.4447503685951233,0.5701851114634703,-1.7968857288360596,0.4236285388469696,0.5479174351656593,-1.582695484161377
default,crop_farming,1,ET0710,9,0.7838560938835144,0.9872183832770031,-2.520118474960327,0.6428766846656799,0.7990973282475419,-1.3063762187957764
default,crop_farming,1,ET0713,9,0.43865451216697693,0.6206058529208095,-0.8128948211669922,0.39761611819267273,0.585889025908302,-0.6157405376434326
default,crop_farming,1,ET0714,9,0.19245792925357819,0.251606725276433,-0.08248400688171387,0.18749703466892242,0.25197236039419524,-0.0856325626373291
default,crop_farming,1,ET0715,9,0.5515531301498413,0.6952577205038626,-3.9351634979248047,0.44592511653900146,0.5361665530957137,-1.9350085258483887
default,crop_farming,1,ET0716,9,0.29268014430999756,0.46557604385158174,-1.3539659976959229,0.21967953443527222,0.4561112428024284,-1.259230136871338
default,crop_farming,1,ET0720,9,0.4794785678386688,0.6246300794689962,-2.6073415279388428,0.46356555819511414,0.5194104276433671,-1.4943811893463135
default,crop_farming,1,ET0721,9,0.5939961671829224,0.7300913442656882,-1.4696249961853027,0.5507039427757263,0.7362065708194645,-1.51116943359375
default,crop_farming,1,ET0722,9,0.7856928706169128,0.8725168552246209,-2.304457664489746,0.7540591359138489,0.8550555829614006,-2.1735198497772217
default,crop_farming,1,ET0723,9,0.7054221034049988,0.8369902639517818,-1.8653171062469482,0.6622588634490967,0.8064877270487816,-1.6602802276611328
default,crop_farming,1,ET0724,9,0.1075272262096405,0.11221985722900914,-53.75605392456055,0.01825123280286789,0.024564175451489253,-1.6235966682434082
default,crop_farming,1,ET1101,9,0.08833789080381393,0.09163240145430836,0.0,0.0,0.0,1.0
default,crop_farming,1,ET1102,9,0.09179573506116867,0.09482911055073637,-255961.921875,5.009439337300137e-05,0.00015028318032036584,0.35714292526245117
default,crop_farming,1,ET1103,9,0.09825363755226135,0.10164428590724622,-9156.509765625,0.0005677540902979672,0.0012043883430473078,-0.28571438789367676
default,crop_farming,1,ET1104,9,0.5935469269752502,0.7215516179364088,-0.8204751014709473,0.5954776406288147,0.7282431248799651,-0.854397177696228
default,crop_farming,1,ET1105,9,0.0837881788611412,0.0872470125432223,-0.8103365898132324,0.0179299246519804,0.052077364082797714,0.35500526428222656
default,crop_farming,1,ET1106,9,0.08931109309196472,0.09383844137848944,-18.292095184326172,0.026804208755493164,0.032909637172578554,-1.3728158473968506
