year,month,exchange_rate,exchange_rate_lag1,exchange_rate_lag3,exchange_rate_lag6,exchange_rate_lag12,exchange_rate_yoy_change,exchange_rate_yoy_change_lag1,exchange_rate_yoy_change_lag3,exchange_rate_yoy_change_lag6,exchange_rate_yoy_change_lag12
2021,3,41.3165,40.3518,39.1809,36.7223,33.1253,0.24727926992359306,0.2531614906832296,0.2305559045226131,0.25203886805318776,0.15660963687150842
2021,4,41.9424,41.3165,39.4355,38.006,33.3631,0.25714936561650426,0.24727926992359306,0.23661022264032594,0.2796632996632997,0.15167488228877568
2021,5,43.6018,41.9424,40.3518,38.0516,33.932,0.2849758340209829,0.25714936561650426,0.2531614906832296,0.24287459416379775,0.1631701631701632
2021,6,43.691,43.6018,41.3165,39.1809,35.2106,0.24084792647668607,0.2849758340209829,0.24727926992359306,0.2305559045226131,0.2120688468158347
2021,7,44.3046,43.691,41.9424,39.4355,35.1413,0.2607558627597726,0.24084792647668607,0.25714936561650426,0.23661022264032594,0.20927535633418004
2021,8,45.4827,44.3046,43.6018,40.3518,36.6318,0.24161793851244018,0.2607558627597726,0.2849758340209829,0.2531614906832296,0.25656206693102446
2021,9,46.1007,45.4827,43.691,41.3165,36.7223,0.2553870536431544,0.24161793851244018,0.24084792647668607,0.24727926992359306,0.25203886805318776
2021,10,47.2184,46.1007,44.3046,41.9424,38.006,0.24239330632005474,0.2553870536431544,0.2607558627597726,0.25714936561650426,0.2796632996632997
2021,11,47.8791,47.2184,45.4827,43.6018,38.0516,0.25826772067403203,0.24239330632005474,0.24161793851244018,0.2849758340209829,0.24287459416379775
2021,12,49.1936,47.8791,46.1007,43.691,39.1809,0.25555053610305034,0.25826772067403203,0.2553870536431544,0.24084792647668607,0.2305559045226131
2022,1,49.7983,49.1936,47.2184,44.3046,39.4355,0.2627784610313042,0.25555053610305034,0.24239330632005474,0.2607558627597726,0.23661022264032594
2022,2,51.2635,49.7983,47.8791,45.4827,40.3518,0.2704142070490041,0.2627784610313042,0.25826772067403203,0.24161793851244018,0.2531614906832296
2022,3,50.9867,51.2635,49.1936,46.1007,41.3165,0.23405177108419162,0.2704142070490041,0.25555053610305034,0.2553870536431544,0.24727926992359306
2022,4,51.8573,50.9867,49.7983,47.2184,41.9424,0.2363932440680554,0.23405177108419162,0.2627784610313042,0.24239330632005474,0.25714936561650426
2022,5,51.5678,51.8573,51.2635,47.8791,43.6018,0.18269887940406138,0.2363932440680554,0.2704142070490041,0.25826772067403203,0.2849758340209829
2022,6,51.9938,51.5678,50.9867,49.1936,43.691,0.19003456089354787,0.18269887940406138,0.23405177108419162,0.25555053610305034,0.24084792647668607
2022,7,52.6182,51.9938,51.8573,49.7983,44.3046,0.18764642949039145,0.19003456089354787,0.2363932440680554,0.2627784610313042,0.2607558627597726
2022,8,52.4617,52.6182,51.5678,51.2635,45.4827,0.15344295743216652,0.18764642949039145,0.18269887940406138,0.2704142070490041,0.24161793851244018
2022,9,52.5893,52.4617,51.9938,50.9867,46.1007,0.14074840512183107,0.15344295743216652,0.19003456089354787,0.23405177108419162,0.2553870536431544
2022,10,53.364,52.5893,52.6182,51.8573,47.2184,0.13015265235586115,0.14074840512183107,0.18764642949039145,0.2363932440680554,0.24239330632005474
2022,11,53.4421,53.364,52.4617,51.5678,47.8791,0.11618848307507879,0.13015265235586115,0.15344295743216652,0.18269887940406138,0.25826772067403203
2022,12,53.3387,53.4421,52.5893,51.9938,49.1936,0.08426096077538547,0.11618848307507879,0.14074840512183107,0.19003456089354787,0.25555053610305034
2023,1,53.4716,53.3387,53.364,52.6182,49.7983,0.07376356220995506,0.08426096077538547,0.13015265235586115,0.18764642949039145,0.2627784610313042
2023,2,53.7445,53.4716,53.4421,52.4617,51.2635,0.04839700761750576,0.07376356220995506,0.11618848307507879,0.15344295743216652,0.2704142070490041
