year,month,wvg,wvg_undated,wvg_lag1yr,wvg_lag2yr,wvg_lag3yr
2023,10,-0.1903793,-0.1903793,-2.2596254,-1.3121905,-0.1306502
2023,11,-0.1903793,-0.1903793,-2.2596254,-1.3121905,-0.1306502
2023,12,-0.1903793,-0.1903793,-2.2596254,-1.3121905,-0.1306502
2024,1,-0.1903793,0.59943455,-2.2596254,-1.3121905,-0.1306502
2024,2,-0.1903793,0.59943455,-2.2596254,-1.3121905,-0.1306502
2024,3,-0.1903793,0.59943455,-2.2596254,-1.3121905,-0.1306502
2024,4,-0.1903793,0.59943455,-2.2596254,-1.3121905,-0.1306502
2024,5,-0.1903793,0.59943455,-2.2596254,-1.3121905,-0.1306502
2024,6,0.59943455,0.59943455,-0.1903793,-2.2596254,-1.3121905
2024,7,0.59943455,0.59943455,-0.1903793,-2.2596254,-1.3121905
2024,8,0.59943455,0.59943455,-0.1903793,-2.2596254,-1.3121905
2024,9,0.59943455,0.59943455,-0.1903793,-2.2596254,-1.3121905
2024,10,0.59943455,0.59943455,-0.1903793,-2.2596254,-1.3121905
2024,11,0.59943455,0.59943455,-0.1903793,-2.2596254,-1.3121905
2024,12,0.59943455,0.59943455,-0.1903793,-2.2596254,-1.3121905
2025,1,0.59943455,-1.0366554,-0.1903793,-2.2596254,-1.3121905
2025,2,0.59943455,-1.0366554,-0.1903793,-2.2596254,-1.3121905
2025,3,0.59943455,-1.0366554,-0.1903793,-2.2596254,-1.3121905
2025,4,0.59943455,-1.0366554,-0.1903793,-2.2596254,-1.3121905
2025,5,0.59943455,-1.0366554,-0.1903793,-2.2596254,-1.3121905
2025,6,-1.0366554,-1.0366554,0.59943455,-0.1903793,-2.2596254
2025,7,-1.0366554,-1.0366554,0.59943455,-0.1903793,-2.2596254
2025,8,-1.0366554,-1.0366554,0.59943455,-0.1903793,-2.2596254
2025,9,-1.0366554,-1.0366554,0.59943455,-0.1903793,-2.2596254
2025,10,-1.0366554,-1.0366554,0.59943455,-0.1903793,-2.2596254
2025,11,-1.0366554,-1.0366554,0.59943455,-0.1903793,-2.2596254
2025,12,-1.0366554,-1.0366554,0.59943455,-0.1903793,-2.2596254
2026,1,-1.0366554,0.45979297,0.59943455,-0.1903793,-2.2596254
2026,2,-1.0366554,0.45979297,0.59943455,-0.1903793,-2.2596254
2026,3,-1.0366554,0.45979297,0.59943455,-0.1903793,-2.2596254
2026,4,-1.0366554,0.45979297,0.59943455,-0.1903793,-2.2596254
2026,5,-1.0366554,0.45979297,0.59943455,-0.1903793,-2.2596254
2026,6,0.45979297,0.45979297,-1.0366554,0.59943455,-0.1903793
2026,7,0.45979297,0.45979297,-1.0366554,0.59943455,-0.1903793
2026,8,0.45979297,0.45979297,-1.0366554,0.59943455,-0.1903793
