subject,cluster,lead,zone_code,time,top1_feature,rho
xgboost,pastoral,1,ET0203,2021-02-01,ha_share_lag1,0.9997977859302589
xgboost,pastoral,1,ET0204,2021-02-01,ipc_lag1,0.9838315905444005
xgboost,pastoral,1,ET0205,2021-02-01,ipc_lag1,0.9853063586737199
xgboost,pastoral,1,ET0411,2021-02-01,ipc_lag1,0.9844155708320151
xgboost,pastoral,1,ET0412,2021-02-01,ipc_lag1,0.9833103663473953
xgboost,pastoral,1,ET0414,2021-02-01,ipc_lag1,0.9810546335349373
xgboost,pastoral,1,ET0415,2021-02-01,ipc_lag1,0.9837496589816606
xgboost,pastoral,1,ET0421,2021-02-01,ipc_lag1,0.9843894224609279
xgboost,pastoral,1,ET0501,2021-02-01,months_since_lean_start,0.9975821472868016
xgboost,pastoral,1,ET0503,2021-02-01,ipc_lag1,0.9909840416491257
xgboost,pastoral,1,ET0504,2021-02-01,ipc_lag1,0.9922287041128773
xgboost,pastoral,1,ET0505,2021-02-01,ipc_lag1,0.9914634284523913
xgboost,pastoral,1,ET0506,2021-02-01,ipc_lag1,0.9920160306947013
xgboost,pastoral,1,ET0507,2021-02-01,ipc_lag1,0.9949132702111657
xgboost,pastoral,1,ET0508,2021-02-01,ipc_lag1,0.9937679715575453
xgboost,pastoral,1,ET0509,2021-02-01,ipc_lag1,0.9937609986585887
xgboost,pastoral,1,ET0510,2021-02-01,ipc_lag1,0.9956523975005646
xgboost,pastoral,1,ET0511,2021-02-01,ipc_lag1,0.9950997952582545
xgboost,pastoral,1,ET0201,2021-06-01,ipc_lag1,0.9868212209720397
xgboost,pastoral,1,ET0202,2021-06-01,ipc_lag1,0.9943937892388994
xgboost,pastoral,1,ET0203,2021-06-01,ipc_lag1,0.9911932286178233
xgboost,pastoral,1,ET0204,2021-06-01,ipc_lag1,0.993224085438931
xgboost,pastoral,1,ET0205,2021-06-01,ipc_lag1,0.984614298452278
xgboost,pastoral,1,ET0411,2021-06-01,ipc_lag1,0.9848165125220192
xgboost,pastoral,1,ET0412,2021-06-01,ipc_lag1,0.9873023510000445
xgboost,pastoral,1,ET0414,2021-06-01,ipc_lag1,0.981910556881859
xgboost,pastoral,1,ET0415,2021-06-01,ipc_lag1,0.9830192478159574
xgboost,pastoral,1,ET0421,2021-06-01,ipc_lag1,0.9881879091675319
xgboost,pastoral,1,ET0501,2021-06-01,ipc_lag1,0.986836909994692
xgboost,pastoral,1,ET0503,2021-06-01,ipc_lag1,0.9908288946473414
xgboost,pastoral,1,ET0504,2021-06-01,ipc_lag1,0.994517558195379
xgboost,pastoral,1,ET0505,2021-06-01,ipc_lag1,0.9907626521072537
xgboost,pastoral,1,ET0506,2021-06-01,ipc_lag1,0.9924954174979671
xgboost,pastoral,1,ET0507,2021-06-01,ipc_lag1,0.9942525880350285
xgboost,pastoral,1,ET0508,2021-06-01,ipc_lag1,0.9919916255483533
xgboost,pastoral,1,ET0509,2021-06-01,ipc_lag1,0.9947895012546861
xgboost,pastoral,1,ET0510,2021-06-01,ipc_lag1,0.9954867911503453
xgboost,pastoral,1,ET0511,2021-06-01,ipc_lag1,0.995469358902954
xgboost,pastoral,1,ET0201,2021-10-01,ipc_lag1,0.993224085438931
xgboost,pastoral,1,ET0202,2021-10-01,ipc_lag1,0.9943223170245943
xgboost,pastoral,1,ET0203,2021-10-01,ipc_lag1,0.9940224823694609
xgboost,pastoral,1,ET0204,2021-10-01,ipc_lag1,0.9936459458258049
xgboost,pastoral,1,ET0205,2021-10-01,ipc_lag1,0.9937662283328061
xgboost,pastoral,1,ET0411,2021-10-01,ipc_lag1,0.9820813929062957
xgboost,pastoral,1,ET0412,2021-10-01,ipc_lag1,0.9924936742732279
xgboost,pastoral,1,ET0414,2021-10-01,ipc_lag1,0.9837810370269652
xgboost,pastoral,1,ET0415,2021-10-01,ipc_lag8,0.9976605924000632
xgboost,pastoral,1,ET0421,2021-10-01,ipc_lag1,0.9876109017788739
xgboost,pastoral,1,ET0501,2021-10-01,ipc_lag8,0.9985688124891595
xgboost,pastoral,1,ET0503,2021-10-01,ipc_lag1,0.9793759081111376
xgboost,pastoral,1,ET0504,2021-10-01,ipc_lag1,0.9885243515421875
xgboost,pastoral,1,ET0505,2021-10-01,ipc_lag1,0.9805595577090193
xgboost,pastoral,1,ET0506,2021-10-01,ipc_lag1,0.9887126198140155
xgboost,pastoral,1,ET0507,2021-10-01,ipc_lag1,0.9816909105647266
xgboost,pastoral,1,ET0508,2021-10-01,ipc_lag1,0.9947912444794251
xgboost,pastoral,1,ET0509,2021-10-01,ipc_lag1,0.9946326110281628
xgboost,pastoral,1,ET0510,2021-10-01,ipc_lag1,0.9944983827232483
xgboost,pastoral,1,ET0511,2021-10-01,ipc_lag1,0.9954902775998238
xgboost,pastoral,1,ET0201,2022-02-01,ipc_lag1,0.987389512237002
xgboost,pastoral,1,ET0202,2022-02-01,ipc_lag1,0.9960742578874384
xgboost,pastoral,1,ET0203,2022-02-01,ipc_lag1,0.9918922617382218
xgboost,pastoral,1,ET0204,2022-02-01,ipc_lag1,0.999904122639347
xgboost,pastoral,1,ET0205,2022-02-01,ipc_lag1,0.9830872335807842
xgboost,pastoral,1,ET0411,2022-02-01,ipc_lag1,0.9817065995873789
xgboost,pastoral,1,ET0412,2022-02-01,ipc_lag1,0.9942630473834634
xgboost,pastoral,1,ET0414,2022-02-01,ipc_lag1,0.9838943466350099
xgboost,pastoral,1,ET0415,2022-02-01,ipc_lag1,0.988932266131148
xgboost,pastoral,1,ET0421,2022-02-01,ipc_lag1,0.9888050107251903
xgboost,pastoral,1,ET0501,2022-02-01,months_since_lean_start,0.9956768026469126
xgboost,pastoral,1,ET0503,2022-02-01,ipc_lag1,0.9929347101322326
xgboost,pastoral,1,ET0504,2022-02-01,ipc_lag1,0.9951207139551244
xgboost,pastoral,1,ET0505,2022-02-01,ipc_lag1,0.9910903783582136
xgboost,pastoral,1,ET0506,2022-02-01,ipc_lag1,0.9922165015397034
xgboost,pastoral,1,ET0507,2022-02-01,ipc_lag1,0.9957639638838699
xgboost,pastoral,1,ET0508,2022-02-01,ipc_lag1,0.9949812559759924
xgboost,pastoral,1,ET0509,2022-02-01,ipc_lag1,0.9942647906082026
xgboost,pastoral,1,ET0510,2022-02-01,ipc_lag1,0.9956489110510863
xgboost,pastoral,1,ET0511,2022-02-01,ipc_lag1,0.9949202431101223
xgboost,pastoral,1,ET0201,2022-06-01,ipc_lag1,0.9865492779127326
xgboost,pastoral,1,ET0202,2022-06-01,ipc_lag1,0.9937697147822843
xgboost,pastoral,1,ET0203,2022-06-01,ipc_lag1,0.9895528541382849
xgboost,pastoral,1,ET0204,2022-06-01,ipc_lag1,0.9996775034232577
xgboost,pastoral,1,ET0205,2022-06-01,ipc_lag1,0.9815863170803776
xgboost,pastoral,1,ET0411,2022-06-01,ipc_lag1,0.9826200493506926
xgboost,pastoral,1,ET0412,2022-06-01,ipc_lag1,0.9951067681572111
xgboost,pastoral,1,ET0414,2022-06-01,ipc_lag1,0.9847154054871486
xgboost,pastoral,1,ET0415,2022-06-01,ipc_lag1,0.987084447907651
