zone_code,lead,target_month,lstm_pred
ET0401,12,2027-06,1.3317551612854004
ET0402,12,2027-06,1.0557992458343506
ET0403,12,2027-06,1.2366398572921753
ET0404,12,2027-06,1.0696529150009155
ET0405,12,2027-06,0.7353734970092773
ET0406,12,2027-06,1.4501570463180542
ET0407,12,2027-06,1.6606851816177368
ET0408,12,2027-06,1.4015036821365356
ET0409,12,2027-06,3.2332918643951416
ET0410,12,2027-06,2.803778648376465
ET0411,12,2027-06,2.262126922607422
ET0412,12,2027-06,3.0592291355133057
ET0413,12,2027-06,0.7275292277336121
ET0414,12,2027-06,2.004063844680786
ET0415,12,2027-06,1.5717029571533203
ET0416,12,2027-06,1.1877861022949219
ET0417,12,2027-06,1.946742296218872
ET0418,12,2027-06,1.0867325067520142
ET0419,12,2027-06,1.0889544486999512
ET0420,12,2027-06,0.6568927764892578
ET0421,12,2027-06,2.2801437377929688
ET0501,12,2027-06,2.1381852626800537
ET0502,12,2027-06,2.0918593406677246
ET0503,12,2027-06,2.5325944423675537
ET0504,12,2027-06,2.7677690982818604
ET0505,12,2027-06,3.7486162185668945
ET0506,12,2027-06,3.4944076538085938
ET0507,12,2027-06,2.7801361083984375
ET0508,12,2027-06,3.240785598754883
ET0509,12,2027-06,2.949599266052246
ET0510,12,2027-06,2.801027297973633
ET0511,12,2027-06,2.0685501098632812
ET0602,12,2027-06,0.7188708782196045
ET0603,12,2027-06,1.1908495426177979
ET0604,12,2027-06,0.9769786596298218
ET0605,12,2027-06,1.2912667989730835
ET0701,12,2027-06,1.6424531936645508
ET0702,12,2027-06,1.9679186344146729
ET0703,12,2027-06,1.9814609289169312
ET0705,12,2027-06,2.5097594261169434
ET0706,12,2027-06,2.7812228202819824
ET0707,12,2027-06,2.7502737045288086
ET0710,12,2027-06,3.403139114379883
ET0712,12,2027-06,2.855193853378296
ET0713,12,2027-06,3.4017863273620605
ET0714,12,2027-06,0.7942830324172974
ET0715,12,2027-06,2.658540725708008
ET0716,12,2027-06,1.0093673467636108
ET0720,12,2027-06,2.129488229751587
ET0721,12,2027-06,3.02493953704834
ET0722,12,2027-06,2.826735734939575
ET0723,12,2027-06,2.725372791290283
ET0724,12,2027-06,0.7788562774658203
ET1101,12,2027-06,0.8201602697372437
ET1102,12,2027-06,1.0783096551895142
ET1103,12,2027-06,1.0888934135437012
ET1104,12,2027-06,1.0395420789718628
ET1105,12,2027-06,1.0549265146255493
ET1106,12,2027-06,1.0674903392791748
ET1201,12,2027-06,1.12217116355896
ET1202,12,2027-06,1.3852975368499756
ET1203,12,2027-06,0.8558322191238403
ET1204,12,2027-06,1.0288118124008179
ET1301,12,2027-06,1.8197598457336426
ET1401,12,2027-06,0.6344372034072876
ET1501,12,2027-06,1.7838830947875977
ET1502,12,2027-06,1.8277134895324707
ET1600,12,2027-06,2.2110774517059326
