zone_code,lead,target_month,cluster,xgb_pred,rf_pred
ET0713,1,2026-07,crop_farming,2.7508591128249833,2.9400005017708764
ET0714,1,2026-07,crop_farming,1.2532297858215906,1.2513400488993727
ET0715,1,2026-07,crop_farming,1.8153404016879582,1.8079980218806408
ET0716,1,2026-07,crop_farming,1.0643868146848623,1.043506897574289
ET0720,1,2026-07,crop_farming,1.5424639930276085,1.5069974823926364
ET0721,1,2026-07,crop_farming,2.7463443020899327,2.9440840732003988
ET0722,1,2026-07,crop_farming,2.748621839756654,2.950883884923264
ET0723,1,2026-07,crop_farming,2.769375428557396,2.947714220848722
ET0724,1,2026-07,crop_farming,1.030807688832283,1.0074480146021687
ET1101,1,2026-07,crop_farming,1.030807688832283,1.0074480146021687
ET1102,1,2026-07,crop_farming,1.0778326701605507,1.124942510081457
ET1103,1,2026-07,crop_farming,1.030807688832283,1.0074480146021687
ET1104,1,2026-07,crop_farming,1.1528891653401208,1.2005085843019248
ET1105,1,2026-07,crop_farming,1.033486774050104,1.011787043434799
ET1106,1,2026-07,crop_farming,1.0384817502985815,1.0177978240516898
ET1202,1,2026-07,crop_farming,1.0308076888322828,1.0074480146021685
ET1203,1,2026-07,crop_farming,1.0308076888322828,1.0074480146021685
ET1204,1,2026-07,crop_farming,1.0308076888322832,1.007448014602169
ET1301,1,2026-07,crop_farming,1.2851075156237919,1.2913700837574322
ET1401,1,2026-07,crop_farming,1.030807688832283,1.0074480146021687
ET1501,1,2026-07,crop_farming,1.3594717026826406,1.3718575866248786
ET1502,1,2026-07,crop_farming,1.7592393734775937,1.7525595017033366
ET1600,1,2026-07,crop_farming,1.8590490617101272,1.7835422188272394
ET0201,2,2026-08,pastoral,2.0547945542323394,2.349716542904266
ET0202,2,2026-08,pastoral,2.3926447935502164,2.615537236251572
ET0203,2,2026-08,pastoral,2.112825887016832,2.442579150998794
ET0204,2,2026-08,pastoral,2.6153221096075727,2.7647691587207097
ET0205,2,2026-08,pastoral,1.8015642887339351,2.0756772161903414
ET0411,2,2026-08,pastoral,1.5870737522954077,1.8152448260848235
ET0412,2,2026-08,pastoral,2.428269947303123,2.6193465094390853
ET0414,2,2026-08,pastoral,1.3961655613322923,1.6295561252451292
ET0415,2,2026-08,pastoral,1.3153804217751466,1.5989587322482093
ET0421,2,2026-08,pastoral,1.9947266914476014,2.0757585627099697
ET0501,2,2026-08,pastoral,1.960411478939052,2.257909131424943
ET0503,2,2026-08,pastoral,2.661518041219996,2.8803825121554616
ET0504,2,2026-08,pastoral,2.7734890465243667,2.879838569539719
ET0505,2,2026-08,pastoral,2.6709322753844664,2.7957850546768994
ET0506,2,2026-08,pastoral,2.6340560798124,2.880960534146437
ET0507,2,2026-08,pastoral,2.781070083379746,2.8708558769289536
ET0508,2,2026-08,pastoral,2.761085970065911,2.875958070012401
ET0509,2,2026-08,pastoral,2.670325670485159,2.861524408704212
ET0510,2,2026-08,pastoral,2.79828083760275,2.90838980592408
ET0511,2,2026-08,pastoral,2.415692816510732,2.6033789254271817
ET0410,2,2026-08,agropastoral,2.070333567447406,2.2868116695129546
ET0502,2,2026-08,agropastoral,1.874424777011011,1.916163187796412
ET0707,2,2026-08,agropastoral,1.8994394936684809,1.9641596604740905
ET0712,2,2026-08,agropastoral,2.484885130889508,2.7271227367388544
ET1201,2,2026-08,agropastoral,1.1806061118841171,1.048194901522331
ET0101,2,2026-08,crop_farming,2.2804349404662223,2.1824622436798515
ET0102,2,2026-08,crop_farming,2.5318954376411154,2.558434551452035
ET0103,2,2026-08,crop_farming,2.294571578108127,2.4560267036517702
ET0104,2,2026-08,crop_farming,2.4206411666905914,2.531906391048314
ET0105,2,2026-08,crop_farming,1.2730248188443913,1.253296155798016
ET0106,2,2026-08,crop_farming,2.4827890701685553,2.393729067896103
ET0107,2,2026-08,crop_farming,2.038705863058566,1.8683224206465137
ET0301,2,2026-08,crop_farming,2.401341946697437,2.465767862978584
ET0302,2,2026-08,crop_farming,1.432339432908931,1.3018446744353023
ET0303,2,2026-08,crop_farming,2.301839646159712,2.2864497205322367
ET0304,2,2026-08,crop_farming,1.991904864384667,1.7958661806198217
ET0305,2,2026-08,crop_farming,1.4701090058404351,1.3996686871963515
ET0306,2,2026-08,crop_farming,1.1650271645412296,1.0164704777142393
ET0307,2,2026-08,crop_farming,1.0388925087910827,1.0059981318071698
ET0308,2,2026-08,crop_farming,2.465766550473277,2.443443022197437
ET0309,2,2026-08,crop_farming,1.1662251204252245,1.0057430992540344
ET0310,2,2026-08,crop_farming,1.764566363979585,1.750137641887673
ET0311,2,2026-08,crop_farming,1.1808191632470075,1.185853412537509
ET0312,2,2026-08,crop_farming,1.038644537329674,1.0057439062919833
ET0401,2,2026-08,crop_farming,1.3603074062350131,1.2199521259757102
ET0402,2,2026-08,crop_farming,1.3371427116893353,1.1891774323455921
ET0403,2,2026-08,crop_farming,1.1662251204252243,1.0057430992540342
ET0404,2,2026-08,crop_farming,1.1662251204252245,1.0057430992540344
ET0405,2,2026-08,crop_farming,1.1662251204252245,1.0057430992540344
ET0406,2,2026-08,crop_farming,1.1634007254148757,1.0461038422946647
ET0407,2,2026-08,crop_farming,1.2801427590190921,1.284916674432412
ET0408,2,2026-08,crop_farming,1.331177091063306,1.2439077685792328
ET0409,2,2026-08,crop_farming,2.2848651628734546,2.6633715516452954
ET0413,2,2026-08,crop_farming,1.175024154104636,1.014543477533157
ET0416,2,2026-08,crop_farming,1.1662251204252243,1.0057430992540342
ET0417,2,2026-08,crop_farming,1.2689817647760986,1.3018223146575
ET0418,2,2026-08,crop_farming,1.1676672859683423,1.0071852647971522
ET0419,2,2026-08,crop_farming,1.392217708252769,1.2971954063853162
ET0420,2,2026-08,crop_farming,1.1662251204252243,1.0057501603457608
ET0602,2,2026-08,crop_farming,1.0592829510569572,1.0159776154328348
ET0603,2,2026-08,crop_farming,1.0733683245457588,1.036056250641081
ET0604,2,2026-08,crop_farming,1.0964767307731762,1.0495474708931096
ET0605,2,2026-08,crop_farming,1.1293843883051071,1.0866773360660504
ET0701,2,2026-08,crop_farming,1.433001018142658,1.3130512128589706
ET0702,2,2026-08,crop_farming,1.4058443595956949,1.2096402932519519
ET0703,2,2026-08,crop_farming,2.185252590442377,2.124462935270506
ET0705,2,2026-08,crop_farming,2.0179002718341432,1.9323948215777274
ET0706,2,2026-08,crop_farming,2.3057243568010066,2.5473112943060774
ET0710,2,2026-08,crop_farming,2.1912345140430025,2.7216879896684767
ET0713,2,2026-08,crop_farming,2.469116733755655,2.9229253636570407
ET0714,2,2026-08,crop_farming,1.312593344710026,1.1656132254421268
ET0715,2,2026-08,crop_farming,1.8615010809985184,1.626388092472376
ET0716,2,2026-08,crop_farming,1.2010511456441824,1.0413086825958295
ET0720,2,2026-08,crop_farming,1.5300662455407787,1.2896971503942865
ET0721,2,2026-08,crop_farming,2.466215033324483,2.9299570981695227
ET0722,2,2026-08,crop_farming,2.596073154086755,2.9253715625975265
ET0723,2,2026-08,crop_farming,2.441448986530304,2.932058798333651
ET0724,2,2026-08,crop_farming,1.1662251204252243,1.0057430992540342
ET1101,2,2026-08,crop_farming,1.1662251204252243,1.0057430992540342
ET1102,2,2026-08,crop_farming,1.0151754023739883,1.0276998907601427
ET1103,2,2026-08,crop_farming,1.1662251204252243,1.0057430992540342
ET1104,2,2026-08,crop_farming,1.1857607991082024,1.073699914681362
ET1105,2,2026-08,crop_farming,1.0413236225474947,1.0084172750177884
ET1106,2,2026-08,crop_farming,1.1738991818915228,1.0134185053200437
ET1202,2,2026-08,crop_farming,1.0386445373296735,1.0057439062919828
ET1203,2,2026-08,crop_farming,1.166225120425224,1.005743099254034
ET1204,2,2026-08,crop_farming,1.038644537329674,1.0057439062919833
ET1301,2,2026-08,crop_farming,1.2901174499299366,1.1982534731579324
ET1401,2,2026-08,crop_farming,1.1662251204252243,1.0057430992540342
ET1501,2,2026-08,crop_farming,1.3572284073707128,1.2814497010140387
ET1502,2,2026-08,crop_farming,1.7608680312805332,1.6428813849717354
ET1600,2,2026-08,crop_farming,1.7189266927783569,1.6310554714620453
ET0201,3,2026-09,pastoral,2.3123710794436736,2.3841256773080852
ET0202,3,2026-09,pastoral,2.7362669713894956,2.5377282545264546
ET0203,3,2026-09,pastoral,2.413800554089128,2.439754023537198
ET0204,3,2026-09,pastoral,2.6262590850866987,2.7334042842219324
ET0205,3,2026-09,pastoral,2.0484895011768103,2.0516941926383865
ET0411,3,2026-09,pastoral,1.6975846547746987,1.7895563924362006
ET0412,3,2026-09,pastoral,2.6691081546076005,2.5393037587068115
ET0414,3,2026-09,pastoral,1.5149225894649694,1.6075754642841615
ET0415,3,2026-09,pastoral,1.4996221264179193,1.5680181483941271
ET0421,3,2026-09,pastoral,2.1261460967887498,2.185092128556799
ET0501,3,2026-09,pastoral,2.2373188856863933,2.302101794636294
ET0503,3,2026-09,pastoral,2.771057985898541,2.754302883374302
ET0504,3,2026-09,pastoral,2.8745635483964294,2.896747648397134
ET0505,3,2026-09,pastoral,2.636589360564749,2.834718011010903
ET0506,3,2026-09,pastoral,2.6855407540277167,2.7839586640156337
ET0507,3,2026-09,pastoral,2.808747157454491,2.897558720489034
ET0508,3,2026-09,pastoral,2.8052941241482094,2.875485376839927
ET0509,3,2026-09,pastoral,2.6758204289719068,2.7714705267603117
ET0510,3,2026-09,pastoral,2.8193872893525516,2.9087195473639973
ET0511,3,2026-09,pastoral,2.75566847158962,2.6006066750022803
ET0410,3,2026-09,agropastoral,2.09418138582204,2.171106014482722
ET0502,3,2026-09,agropastoral,1.7089419989088515,1.8711657780892192
ET0707,3,2026-09,agropastoral,1.807791712236806,1.874648995368947
ET0712,3,2026-09,agropastoral,2.413675789601895,2.492926910386556
ET1201,3,2026-09,agropastoral,1.0426487550139427,1.018540040964693
ET0101,3,2026-09,crop_farming,2.377189327487287,2.2523664083723216
ET0102,3,2026-09,crop_farming,2.3840373990964605,2.3006737635914245
ET0103,3,2026-09,crop_farming,2.3604118070345175,2.292396616344093
ET0104,3,2026-09,crop_farming,2.2659581327548657,2.204187215821466
ET0105,3,2026-09,crop_farming,1.1805022274919286,1.1603254334364534
ET0106,3,2026-09,crop_farming,2.2993920294661527,2.3382606409945534
ET0107,3,2026-09,crop_farming,2.1506705284118643,2.099432324060837
ET0301,3,2026-09,crop_farming,2.2253004432605734,2.3279426270781123
ET0302,3,2026-09,crop_farming,1.6058253527421142,1.398116686760155
ET0303,3,2026-09,crop_farming,2.314551193474833,2.2883808929994416
ET0304,3,2026-09,crop_farming,2.129144860728518,2.045956842190179
ET0305,3,2026-09,crop_farming,1.3490278324204827,1.2223788727626588
ET0306,3,2026-09,crop_farming,1.0412218204364627,1.0183965053375232
ET0307,3,2026-09,crop_farming,1.0219054849159654,1.0071107980470535
