zone_code,lead,target_month,tabicl_pred
ET0507,12,2027-06,3
ET0508,12,2027-06,3
ET0509,12,2027-06,3
ET0510,12,2027-06,3
ET0511,12,2027-06,3
ET0602,12,2027-06,1
ET0603,12,2027-06,1
ET0604,12,2027-06,1
ET0605,12,2027-06,1
ET0701,12,2027-06,1
ET0702,12,2027-06,1
ET0703,12,2027-06,2
ET0705,12,2027-06,1
ET0706,12,2027-06,2
ET0707,12,2027-06,1
ET0710,12,2027-06,2
ET0712,12,2027-06,1
ET0713,12,2027-06,2
ET0714,12,2027-06,1
ET0715,12,2027-06,1
ET0716,12,2027-06,1
ET0720,12,2027-06,2
ET0721,12,2027-06,2
ET0722,12,2027-06,2
ET0723,12,2027-06,1
ET0724,12,2027-06,1
ET1101,12,2027-06,1
ET1102,12,2027-06,1
ET1103,12,2027-06,1
ET1104,12,2027-06,1
ET1105,12,2027-06,1
ET1106,12,2027-06,1
ET1201,12,2027-06,1
ET1202,12,2027-06,1
ET1203,12,2027-06,1
ET1204,12,2027-06,1
ET1301,12,2027-06,1
ET1401,12,2027-06,1
ET1501,12,2027-06,2
ET1502,12,2027-06,1
ET1600,12,2027-06,2
