pcode,year,month,ndvi_ref
ET1301,2020,11,
ET1301,2020,12,
ET1301,2021,1,
ET1301,2021,2,
ET1301,2021,3,
ET1301,2021,4,
ET1301,2021,5,
ET1301,2021,6,
ET1301,2021,7,
ET1301,2021,8,
ET1301,2021,9,
ET1301,2021,10,
ET1301,2021,11,
ET1301,2021,12,
ET1301,2022,1,
ET1301,2022,2,
ET1301,2022,3,
ET1301,2022,4,
ET1301,2022,5,
ET1301,2022,6,
ET1301,2022,7,
ET1401,1981,8,
ET1401,1981,9,
ET1401,1981,10,
ET1401,1981,11,
ET1401,1981,12,
ET1401,1982,1,
ET1401,1982,2,
ET1401,1982,3,
ET1401,1982,4,
ET1401,1982,5,
ET1401,1982,6,
ET1401,1982,7,
ET1401,1982,8,
ET1401,1982,9,
ET1401,1982,10,
ET1401,1982,11,
ET1401,1982,12,
ET1401,1983,1,
ET1401,1983,2,
ET1401,1983,3,
ET1401,1983,4,
ET1401,1983,5,
ET1401,1983,6,
ET1401,1983,7,
ET1401,1983,8,
ET1401,1983,9,
ET1401,1983,10,
ET1401,1983,11,
ET1401,1983,12,
ET1401,1984,1,
ET1401,1984,2,
ET1401,1984,3,
ET1401,1984,4,
ET1401,1984,5,
ET1401,1984,6,
ET1401,1984,7,
ET1401,1984,8,
ET1401,1984,9,
ET1401,1984,10,
ET1401,1984,11,
ET1401,1984,12,
ET1401,1985,1,
ET1401,1985,2,
ET1401,1985,3,
ET1401,1985,4,
ET1401,1985,5,
ET1401,1985,6,
ET1401,1985,7,
ET1401,1985,8,
ET1401,1985,9,
ET1401,1985,10,
ET1401,1985,11,
ET1401,1985,12,
ET1401,1986,1,
ET1401,1986,2,
ET1401,1986,3,
ET1401,1986,4,
ET1401,1986,5,
ET1401,1986,6,
ET1401,1986,7,
ET1401,1986,8,
ET1401,1986,9,
ET1401,1986,10,
ET1401,1986,11,
ET1401,1986,12,
ET1401,1987,1,
ET1401,1987,2,
ET1401,1987,3,
ET1401,1987,4,
ET1401,1987,5,
ET1401,1987,6,
ET1401,1987,7,
ET1401,1987,8,
ET1401,1987,9,
ET1401,1987,10,
ET1401,1987,11,
ET1401,1987,12,
ET1401,1988,1,
ET1401,1988,2,
ET1401,1988,3,
ET1401,1988,4,
ET1401,1988,5,
ET1401,1988,6,
ET1401,1988,7,
ET1401,1988,8,
ET1401,1988,9,
ET1401,1988,10,
ET1401,1988,11,
ET1401,1988,12,
ET1401,1989,1,
ET1401,1989,2,
ET1401,1989,3,
ET1401,1989,4,
ET1401,1989,5,
ET1401,1989,6,
ET1401,1989,7,
ET1401,1989,8,
ET1401,1989,9,
ET1401,1989,10,
ET1401,1989,11,
ET1401,1989,12,
ET1401,1990,1,
ET1401,1990,2,
ET1401,1990,3,
ET1401,1990,4,
ET1401,1990,5,
ET1401,1990,6,
ET1401,1990,7,
ET1401,1990,8,
ET1401,1990,9,
ET1401,1990,10,
ET1401,1990,11,
ET1401,1990,12,
ET1401,1991,1,
ET1401,1991,2,
ET1401,1991,3,
ET1401,1991,4,
ET1401,1991,5,
ET1401,1991,6,
ET1401,1991,7,
ET1401,1991,8,
ET1401,1991,9,
ET1401,1991,10,
ET1401,1991,11,
ET1401,1991,12,
ET1401,1992,1,
ET1401,1992,2,
ET1401,1992,3,
ET1401,1992,4,
ET1401,1992,5,
ET1401,1992,6,
ET1401,1992,7,
ET1401,1992,8,
ET1401,1992,9,
ET1401,1992,10,
ET1401,1992,11,
ET1401,1992,12,
ET1401,1993,1,
ET1401,1993,2,
ET1401,1993,3,
ET1401,1993,4,
ET1401,1993,5,
ET1401,1993,6,
ET1401,1993,7,
ET1401,1993,8,
ET1401,1993,9,
ET1401,1993,10,
ET1401,1993,11,
ET1401,1993,12,
ET1401,1994,1,
ET1401,1994,2,
ET1401,1994,3,
ET1401,1994,4,
ET1401,1994,5,
ET1401,1994,6,
ET1401,1994,7,
ET1401,1994,8,
ET1401,1994,9,
ET1401,1994,10,
ET1401,1994,11,
ET1401,1994,12,
ET1401,1995,1,
ET1401,1995,2,
ET1401,1995,3,
ET1401,1995,4,
ET1401,1995,5,
ET1401,1995,6,
ET1401,1995,7,
ET1401,1995,8,
ET1401,1995,9,
ET1401,1995,10,
ET1401,1995,11,
ET1401,1995,12,
ET1401,1996,1,
ET1401,1996,2,
ET1401,1996,3,
ET1401,1996,4,
ET1401,1996,5,
ET1401,1996,6,
ET1401,1996,7,
ET1401,1996,8,
ET1401,1996,9,
ET1401,1996,10,
ET1401,1996,11,
ET1401,1996,12,
ET1401,1997,1,
ET1401,1997,2,
ET1401,1997,3,
ET1401,1997,4,
ET1401,1997,5,
ET1401,1997,6,
ET1401,1997,7,
ET1401,1997,8,
ET1401,1997,9,
ET1401,1997,10,
ET1401,1997,11,
ET1401,1997,12,
ET1401,1998,1,
ET1401,1998,2,
ET1401,1998,3,
ET1401,1998,4,
ET1401,1998,5,
ET1401,1998,6,
ET1401,1998,7,
ET1401,1998,8,
ET1401,1998,9,
ET1401,1998,10,
ET1401,1998,11,
ET1401,1998,12,
ET1401,1999,1,
ET1401,1999,2,
ET1401,1999,3,
ET1401,1999,4,
ET1401,1999,5,
ET1401,1999,6,
ET1401,1999,7,
ET1401,1999,8,
ET1401,1999,9,
ET1401,1999,10,
ET1401,1999,11,
ET1401,1999,12,
ET1401,2000,1,
ET1401,2000,2,
ET1401,2000,3,
ET1401,2000,4,
ET1401,2000,5,
ET1401,2000,6,
ET1401,2000,7,
ET1401,2000,8,
ET1401,2000,9,
ET1401,2000,10,
ET1401,2000,11,
ET1401,2000,12,
ET1401,2001,1,
ET1401,2001,2,
ET1401,2001,3,
ET1401,2001,4,
ET1401,2001,5,
ET1401,2001,6,
ET1401,2001,7,
ET1401,2001,8,
ET1401,2001,9,
ET1401,2001,10,
ET1401,2001,11,
ET1401,2001,12,
ET1401,2002,1,
ET1401,2002,2,
ET1401,2002,3,
ET1401,2002,4,
ET1401,2002,5,
ET1401,2002,6,
ET1401,2002,7,
ET1401,2002,8,
ET1401,2002,9,
ET1401,2002,10,
ET1401,2002,11,
ET1401,2002,12,
ET1401,2003,1,
ET1401,2003,2,
ET1401,2003,3,
ET1401,2003,4,
ET1401,2003,5,
ET1401,2003,6,
ET1401,2003,7,
ET1401,2003,8,
ET1401,2003,9,
ET1401,2003,10,
ET1401,2003,11,
ET1401,2003,12,
ET1401,2004,1,
ET1401,2004,2,
ET1401,2004,3,
ET1401,2004,4,
ET1401,2004,5,
ET1401,2004,6,
ET1401,2004,7,
ET1401,2004,8,
ET1401,2004,9,
ET1401,2004,10,
ET1401,2004,11,
ET1401,2004,12,
ET1401,2005,1,
ET1401,2005,2,
ET1401,2005,3,
ET1401,2005,4,
ET1401,2005,5,
ET1401,2005,6,
ET1401,2005,7,
ET1401,2005,8,
ET1401,2005,9,
ET1401,2005,10,
ET1401,2005,11,
ET1401,2005,12,
ET1401,2006,1,
ET1401,2006,2,
ET1401,2006,3,
