pcode,year,month,ndvi_ref
ET0402,1991,1,0.22768157267052194
ET0402,1991,2,0.18200926781420546
ET0402,1991,3,0.17325443631688947
ET0402,1991,4,0.2669336681228713
ET0402,1991,5,0.41791467404595894
ET0402,1991,6,0.44086515747502614
ET0402,1991,7,0.4146618556333241
ET0402,1991,8,0.4243852853918997
ET0402,1991,9,0.44159229190933147
ET0402,1991,10,0.40207409225224294
ET0402,1991,11,0.3384988081675989
ET0402,1991,12,0.25389985094707757
ET0402,1992,1,0.1679327778050289
ET0402,1992,2,0.1313949335132532
ET0402,1992,3,0.13920322696463883
ET0402,1992,4,0.22318841646546903
ET0402,1992,5,0.36294727996831544
ET0402,1992,6,0.4649166078479202
ET0402,1992,7,0.4636719212439901
ET0402,1992,8,0.4454879424806186
ET0402,1992,9,0.4777838389558684
ET0402,1992,10,0.4687596833552331
ET0402,1992,11,0.4219893909594863
ET0402,1992,12,0.315043895356897
ET0402,1993,1,0.22679791676297473
ET0402,1993,2,0.16431804256882646
ET0402,1993,3,0.16016490247562504
ET0402,1993,4,0.24004308686212256
ET0402,1993,5,0.34762288212488235
ET0402,1993,6,0.395293495433342
ET0402,1993,7,0.428243982139225
ET0402,1993,8,0.42193238590746496
ET0402,1993,9,0.37564615219015624
ET0402,1993,10,0.3868188582084797
ET0402,1993,11,0.3657352829085072
ET0402,1993,12,0.2687170006178812
ET0402,1994,1,0.16314847736159
ET0402,1994,2,0.12408374190546465
ET0402,1994,3,0.14125523993358519
ET0402,1994,4,0.20769324670763217
ET0402,1994,5,0.3506257815253524
ET0402,1994,6,0.40309301491424854
ET0402,1994,7,0.3914698251251629
ET0402,1994,8,0.35331950174725574
ET0402,1994,9,0.33089856612653545
ET0402,1994,10,
ET0402,1994,11,
ET0402,1994,12,
ET0402,1995,1,0.19550806041596977
ET0402,1995,2,0.18863326181536136
ET0402,1995,3,0.2023361602291201
ET0402,1995,4,0.27351048118442345
ET0402,1995,5,0.42780774886961337
ET0402,1995,6,0.501392132850085
ET0402,1995,7,0.47724897590812276
ET0402,1995,8,0.4805398773455965
ET0402,1995,9,0.5074907644935276
ET0402,1995,10,0.48938231009408084
ET0402,1995,11,0.3987210329364079
ET0402,1995,12,0.2936570187985609
ET0402,1996,1,0.2113497680032119
ET0402,1996,2,0.17310065223015067
ET0402,1996,3,0.18821860774271731
ET0402,1996,4,0.2854747308145207
ET0402,1996,5,0.42944245148396143
ET0402,1996,6,0.5091920539664763
ET0402,1996,7,0.5133230518219744
ET0402,1996,8,0.4974959972112076
ET0402,1996,9,0.4983662066924207
ET0402,1996,10,0.4595523560104739
ET0402,1996,11,0.37275927565427985
ET0402,1996,12,0.2832004963127887
ET0402,1997,1,0.21433132994866022
ET0402,1997,2,0.18113487122667393
ET0402,1997,3,0.1757069318262851
ET0402,1997,4,0.23440741945580007
